iter	MultiClass
129	0.2940503945
130	0.2935382453
131	0.2926822803
132	0.291661439
133	0.2910208575
134	0.2899671563
135	0.2875475424
136	0.2861491352
137	0.2848197882
138	0.2830872613
139	0.2820197952
140	0.281863027
141	0.2811151511
142	0.2795356311
143	0.2781396889
144	0.2765776716
145	0.2756635764
146	0.2746056521
147	0.2745752913
148	0.27301535
149	0.2716515835
150	0.2712184582
151	0.2712145003
152	0.2695960018
153	0.2683475739
154	0.2670780093
155	0.2665032105
156	0.2655643112
157	0.2648780993
158	0.2640032785
159	0.263350822
160	0.2621936477
161	0.2618674657
162	0.2609939465
163	0.2602432508
164	0.2593825781
165	0.2586616156
166	0.2570881557
167	0.2561397722
168	0.2546844489
169	0.2539790386
170	0.2535617028
171	0.2526104147
172	0.2517212556
173	0.250712712
174	0.2499303182
175	0.2489477257
176	0.2483022897
177	0.247313338
178	0.2460963034
179	0.245427818
180	0.2443651089
181	0.2434481931
182	0.2422969607
183	0.2414867404
184	0.2409479928
185	0.2401584085
186	0.240141385
187	0.2391825558
188	0.2378978154
189	0.2366682397
190	0.2360519003
191	0.2350796858
192	0.2341923033
193	0.2334818915
194	0.2323908169
195	0.2320317167
196	0.2318704553
197	0.2310572532
198	0.2303962352
199	0.229713895
200	0.2288314049
201	0.2276777679
202	0.2264973118
203	0.2257871073
204	0.2251350907
205	0.2239472381
206	0.2229726267
207	0.2222210178
208	0.2214244893
209	0.2205872132
210	0.2200400727
211	0.2192655531
212	0.2185905895
213	0.2177658322
214	0.217274403
215	0.2162687089
216	0.2155635088
217	0.2150359034
218	0.2146636196
219	0.2139055344
220	0.213467803
221	0.2124455467
222	0.2118037106
223	0.2108544168
224	0.2104487857
225	0.210223667
226	0.2094727467
227	0.2086278418
228	0.2077997739
229	0.2070963289
230	0.2061471562
231	0.2057943273
232	0.2052065474
233	0.2045442652
234	0.2045319284
235	0.2042573754
236	0.2035760545
237	0.2026498462
238	0.2020765555
239	0.201458914
240	0.2010257933
241	0.2002534464
242	0.1999238949
243	0.1993396616
244	0.1987787435
245	0.1981331292
246	0.1977648509
247	0.1972532527
248	0.1966538944
249	0.1958968226
250	0.1954928583
251	0.194703504
252	0.1940291762
253	0.1931705828
254	0.1926759332
255	0.192287277
256	0.1917117395
257	0.1912819096
258	0.1905755664
259	0.1903827698
260	0.1897971582
261	0.189248464
262	0.1885968227
263	0.1878093766
264	0.1868133436
265	0.1861906605
266	0.1858507191
267	0.1851819583
268	0.1847071778
269	0.1839882646
270	0.1836375294
271	0.183315929
272	0.1828409299
273	0.1822144024
274	0.1817761983
275	0.181121242
276	0.1804278791
277	0.1799799471
278	0.1795421842
279	0.179049119
280	0.1784363152
281	0.1778274603
282	0.1772186734
283	0.1767737378
284	0.1761942583
285	0.1757835765
286	0.1751312833
287	0.1747434233
288	0.1742585867
289	0.1738299411
290	0.1733713019
291	0.1724979635
292	0.1716327724
293	0.1711257842
294	0.1707415572
295	0.1701459238
296	0.1695100541
297	0.168888392
298	0.1688666346
299	0.1681292228
300	0.1679548175
301	0.16724305
302	0.1667629164
303	0.1662545632
304	0.1657020396
305	0.1653645461
306	0.1649462572
307	0.164863129
308	0.16474001
309	0.1641907034
310	0.1637066679
311	0.1631897284
312	0.1627405879
313	0.1624007446
314	0.1620640341
315	0.161394981
316	0.1608609102
317	0.1603574444
318	0.1598501872
319	0.159525237
320	0.1588717868
321	0.158708845
322	0.1584355815
323	0.1578590004
324	0.1572996667
325	0.1567739183
326	0.1560761386
327	0.155674594
328	0.1554502104
329	0.1552307234
330	0.1548505744
331	0.1544978129
332	0.1541088557
333	0.1535365445
334	0.152901279
335	0.152640773
336	0.1522282945
337	0.1518101841
338	0.1516219564
339	0.1512605629
340	0.1508629147
341	0.150384746
342	0.1502570468
343	0.1497490646
344	0.1493213084
345	0.1489817119
346	0.1486268985
347	0.14834359
348	0.1479499707
349	0.1476150679
350	0.1474156979
351	0.1467598352
352	0.1463901082
353	0.1460934885
354	0.145727714
355	0.1454612548
356	0.1448977119
357	0.1446181449
358	0.1441379448
359	0.1437223022
360	0.1434983096
361	0.1431613559
362	0.1426908942
363	0.1422301997
364	0.1417544937
365	0.1413398684
366	0.1410563262
367	0.1407512194
368	0.1407182819
369	0.1401807578
370	0.1399693172
371	0.1397557799
372	0.1394791986
373	0.1391554906
374	0.1387153725
375	0.1384650904
376	0.1379691346
377	0.137726658
378	0.1374897795
379	0.1370345405
380	0.1367742951
381	0.136503636
382	0.1362498265
383	0.1361335206
384	0.1357194326
385	0.1354643443
386	0.1352029742
387	0.1350517294
388	0.134713952
389	0.1342535639
390	0.1339861252
391	0.1335879144
392	0.1333938032
393	0.133043177
394	0.1328617313
395	0.1326909155
396	0.1321053983
397	0.1317478683
398	0.1313866185
399	0.130866632
400	0.130697901
401	0.130429701
402	0.1301800356
403	0.1298993999
404	0.1294677979
405	0.1291476595
406	0.1288740016
407	0.1286435788
408	0.1284444987
409	0.1280370354
410	0.1279201187
411	0.1279136423
412	0.1275547293
413	0.1273851023
414	0.1269886452
415	0.1265967799
416	0.1264897877
417	0.12644271
418	0.1262201543
419	0.1260126199
420	0.1258956326
421	0.1256291028
422	0.1250933027
423	0.1248896442
424	0.1245885991
425	0.1244476281
426	0.1241394102
427	0.124016839
428	0.1237771959
429	0.1233694655
430	0.1230885819
431	0.1225732447
432	0.1224143083
